partition_set_id,partition_id,method,start_node,cycle_time,num_complete_cycles,benefit,benefit_per_minute,cost_without_plow,cost_with_plow,coverage_ratio,total_priority,unique_edges
1,6,chinese_postman,133,44.335905352682246,16,358213.5945462075,497.5188813141771,381239.99999999977,23026.405453792242,1.0,88.24999999999994,252
1,6,chinese_postman,407,44.335905352682246,16,358211.36678205716,497.5157871973016,381239.99999999977,23028.633217942628,1.0,88.24999999999994,252
1,6,chinese_postman,120,44.335905352682275,16,358210.4563753544,497.51452274354773,381240.0000000001,23029.543624645725,1.0,88.25000000000003,252
2,6,chinese_postman,123,44.33590535268227,16,358210.1406363419,497.5140842171415,381240.0000000001,23029.85936365821,1.0,88.25000000000003,252
2,6,chinese_postman,130,44.33590535268227,16,358209.17575915414,497.5127441099363,381240.0000000001,23030.824240845996,1.0,88.25000000000003,252
2,6,chinese_postman,532,44.33590535268227,16,358208.6963717124,497.51207829404495,381240.0000000001,23031.30362828773,1.0,88.25000000000003,252
0,6,chinese_postman,532,44.33590535268227,16,358208.6963717124,497.51207829404495,381240.0000000001,23031.30362828773,1.0,88.25000000000003,252
1,6,chinese_postman,468,44.33590535268226,16,358207.91275826836,497.5109899420394,381240.00000000006,23032.087241731682,1.0,88.25000000000001,252
1,6,chinese_postman,122,44.33590535268225,16,358207.3471583937,497.5102043866579,381240.0000000002,23032.65284160649,1.0,88.25000000000004,252
1,6,chinese_postman,122,44.33590535268225,16,358207.3471583937,497.5102043866579,381240.0000000002,23032.65284160649,1.0,88.25000000000004,252
2,6,chinese_postman,122,44.33590535268225,16,358207.3471583937,497.5102043866579,381240.0000000002,23032.65284160649,1.0,88.25000000000004,252
2,6,chinese_postman,684,44.33590535268227,16,358207.0817319297,497.5098357387912,381239.9999999999,23032.918268070192,1.0,88.24999999999999,252
0,6,chinese_postman,104,44.33590535268227,16,358206.64470946556,497.5092287631466,381240.00000000023,23033.35529053465,1.0,88.25000000000006,252
1,6,chinese_postman,622,44.335905352682275,16,358206.6388356366,497.50922060505087,381240.0000000002,23033.361164363545,1.0,88.25000000000004,252
0,6,chinese_postman,119,44.33590535268227,16,358206.57013593,497.50912518879164,381240.0000000003,23033.429864070305,1.0,88.25000000000007,252
